,types,c.1.length.types..
1,   HIGH SURF ADVISORY,23
2, COASTAL FLOOD,4
3, FLASH FLOOD,14
4, LIGHTNING,29
5, TSTM WIND,39
6, TSTM WIND (G45),39
7, WATERSPOUT,45
8, WIND,24
9,?,NA
10,ABNORMAL WARMTH,12
11,ABNORMALLY DRY,9
12,ABNORMALLY WET,21
13,ACCUMULATED SNOWFALL,22
14,AGRICULTURAL FREEZE,17
15,APACHE COUNTY,NA
16,ASTRONOMICAL HIGH TIDE,4
17,ASTRONOMICAL LOW TIDE,1
18,AVALANCE,2
19,AVALANCHE,2
20,BEACH EROSIN,4
21,Beach Erosion,4
22,BEACH EROSION,4
23,BEACH EROSION/COASTAL FLOOD,4
24,BEACH FLOOD,4
25,BELOW NORMAL PRECIPITATION,9
26,BITTER WIND CHILL,13
27,BITTER WIND CHILL TEMPERATURES,13
28,Black Ice,17
29,BLACK ICE,17
30,BLIZZARD,3
31,BLIZZARD AND EXTREME WIND CHIL,3
32,BLIZZARD AND HEAVY SNOW,3
33,Blizzard Summary,3
34,BLIZZARD WEATHER,3
35,BLIZZARD/FREEZING RAIN,3
36,BLIZZARD/HEAVY SNOW,3
37,BLIZZARD/HIGH WIND,3
38,BLIZZARD/WINTER STORM,3
39,BLOW-OUT TIDE,23
40,BLOW-OUT TIDES,23
41,BLOWING DUST,11
42,blowing snow,22
43,Blowing Snow,22
44,BLOWING SNOW,22
45,BLOWING SNOW & EXTREME WIND CH,22
46,BLOWING SNOW- EXTREME WIND CHI,22
47,BLOWING SNOW/EXTREME WIND CHIL,22
48,BREAKUP FLOODING,15
49,BRUSH FIRE,46
50,BRUSH FIRES,46
51,COASTAL  FLOODING/EROSION,4
52,COASTAL EROSION,4
53,Coastal Flood,4
54,COASTAL FLOOD,4
55,coastal flooding,4
56,Coastal Flooding,4
57,COASTAL FLOODING,4
58,COASTAL FLOODING/EROSION,4
59,Coastal Storm,4
60,COASTAL STORM,4
61,COASTAL SURGE,4
62,COASTAL/TIDAL FLOOD,4
63,COASTALFLOOD,4
64,COASTALSTORM,4
65,Cold,5
66,COLD,5
67,COLD AIR FUNNEL,18
68,COLD AIR FUNNELS,18
69,COLD AIR TORNADO,40
70,Cold and Frost,17
71,COLD AND FROST,17
72,COLD AND SNOW,22
73,COLD AND WET CONDITIONS,21
74,Cold Temperature,5
75,COLD TEMPERATURES,5
76,COLD WAVE,5
77,COLD WEATHER,5
78,COLD WIND CHILL TEMPERATURES,5
79,COLD/WIND CHILL,5
80,COLD/WINDS,5
81,COOL AND WET,21
82,COOL SPELL,5
83,CSTL FLOODING/EROSION,4
84,DAM BREAK,15
85,DAM FAILURE,15
86,Damaging Freeze,17
87,DAMAGING FREEZE,17
88,DEEP HAIL,19
89,DENSE FOG,7
90,DENSE SMOKE,8
91,DOWNBURST,21
92,DOWNBURST WINDS,21
93,DRIEST MONTH,9
94,Drifting Snow,22
95,DROUGHT,9
96,DROUGHT/EXCESSIVE HEAT,9
97,DROWNING,NA
98,DRY,9
99,DRY CONDITIONS,9
100,DRY HOT WEATHER,9
101,DRY MICROBURST,24
102,DRY MICROBURST 50,24
103,DRY MICROBURST 53,24
104,DRY MICROBURST 58,24
105,DRY MICROBURST 61,24
106,DRY MICROBURST 84,24
107,DRY MICROBURST WINDS,24
108,DRY MIRCOBURST WINDS,24
109,DRY PATTERN,9
110,DRY SPELL,9
111,DRY WEATHER,9
112,DRYNESS,9
113,DUST DEVEL,10
114,Dust Devil,10
115,DUST DEVIL,10
116,DUST DEVIL WATERSPOUT,45
117,DUST STORM,11
118,DUST STORM/HIGH WINDS,11
119,DUSTSTORM,11
120,EARLY FREEZE,17
121,Early Frost,17
122,EARLY FROST,17
123,EARLY RAIN,21
124,EARLY SNOW,22
125,Early snowfall,22
126,EARLY SNOWFALL,22
127,Erosion/Cstl Flood,4
128,EXCESSIVE,NA
129,Excessive Cold,13
130,EXCESSIVE HEAT,12
131,EXCESSIVE HEAT/DROUGHT,12
132,EXCESSIVE PRECIPITATION,21
133,EXCESSIVE RAIN,21
134,EXCESSIVE RAINFALL,21
135,EXCESSIVE SNOW,22
136,EXCESSIVE WETNESS,21
137,EXCESSIVELY DRY,9
138,Extended Cold,5
139,Extreme Cold,13
140,EXTREME COLD,13
141,EXTREME COLD/WIND CHILL,13
142,EXTREME HEAT,12
143,EXTREME WIND CHILL,13
144,EXTREME WIND CHILL/BLOWING SNO,13
145,EXTREME WIND CHILLS,13
146,EXTREME WINDCHILL,13
147,EXTREME WINDCHILL TEMPERATURES,13
148,EXTREME/RECORD COLD,13
149,EXTREMELY WET,21
150,FALLING SNOW/ICE,22
151,FIRST FROST,17
152,FIRST SNOW,22
153,FLASH FLOOD,14
154,FLASH FLOOD - HEAVY RAIN,14
155,FLASH FLOOD FROM ICE JAMS,14
156,FLASH FLOOD LANDSLIDES,14
157,FLASH FLOOD WINDS,14
158,FLASH FLOOD/,14
159,FLASH FLOOD/ FLOOD,14
160,FLASH FLOOD/ STREET,14
161,FLASH FLOOD/FLOOD,14
162,FLASH FLOOD/HEAVY RAIN,14
163,FLASH FLOOD/LANDSLIDE,14
164,FLASH FLOODING,14
165,FLASH FLOODING/FLOOD,14
166,FLASH FLOODING/THUNDERSTORM WI,14
167,FLASH FLOODS,14
168,FLASH FLOOODING,14
169,Flood,15
170,FLOOD,15
171,FLOOD & HEAVY RAIN,15
172,FLOOD FLASH,14
173,FLOOD FLOOD/FLASH,14
174,FLOOD WATCH/,15
175,FLOOD/FLASH,14
176,Flood/Flash Flood,14
177,FLOOD/FLASH FLOOD,14
178,FLOOD/FLASH FLOODING,14
179,FLOOD/FLASH/FLOOD,14
180,FLOOD/FLASHFLOOD,14
181,FLOOD/RAIN/WIND,15
182,FLOOD/RAIN/WINDS,15
183,FLOOD/RIVER FLOOD,15
184,Flood/Strong Wind,15
185,FLOODING,15
186,FLOODING/HEAVY RAIN,15
187,FLOODS,15
188,FOG,7
189,FOG AND COLD TEMPERATURES,16
190,FOREST FIRES,46
191,Freeze,17
192,FREEZE,17
193,Freezing drizzle,36
194,Freezing Drizzle,36
195,FREEZING DRIZZLE,36
196,FREEZING DRIZZLE AND FREEZING,36
197,Freezing Fog,16
198,FREEZING FOG,16
199,Freezing rain,36
200,Freezing Rain,36
201,FREEZING RAIN,36
202,FREEZING RAIN AND SLEET,36
203,FREEZING RAIN AND SNOW,36
204,FREEZING RAIN SLEET AND,36
205,FREEZING RAIN SLEET AND LIGHT,36
206,FREEZING RAIN/SLEET,36
207,FREEZING RAIN/SNOW,36
208,Freezing Spray,36
209,Frost,17
210,FROST,17
211,Frost/Freeze,17
212,FROST/FREEZE,17
213,FROST\FREEZE,17
214,FUNNEL,18
215,Funnel Cloud,18
216,FUNNEL CLOUD,18
217,FUNNEL CLOUD.,18
218,FUNNEL CLOUD/HAIL,18
219,FUNNEL CLOUDS,18
220,FUNNELS,18
221,Glaze,26
222,GLAZE,26
223,GLAZE ICE,26
224,GLAZE/ICE STORM,26
225,gradient wind,24
226,Gradient wind,24
227,GRADIENT WIND,24
228,GRADIENT WINDS,24
229,GRASS FIRES,46
230,GROUND BLIZZARD,3
231,GUSTNADO,39
232,GUSTNADO AND,39
233,GUSTY LAKE WIND,39
